               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077957,            0.075704,                   0,             0.61071,             0.45054,             0.45647,             0.17724,            0.055667,            0.053266,                   0,            0.070068,           0.0033257,           0.0033257
                   1,            0.058884,            0.063974,                   0,             0.71045,               0.509,             0.55465,              0.2355,            0.049184,            0.051315,                   0,            0.039849,           0.0064393,           0.0064393
                   2,             0.05324,            0.060213,                   0,             0.74762,             0.52638,             0.58131,              0.2183,            0.050134,             0.05158,                   0,           0.0094088,           0.0093329,           0.0093329
                   3,            0.049523,            0.061633,                   0,              0.8091,             0.54473,             0.62044,             0.27768,            0.044884,            0.051361,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.047589,             0.06099,                   0,             0.81061,             0.58749,             0.65639,             0.30809,             0.04235,            0.049844,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.044838,            0.057348,                   0,             0.79769,             0.60796,             0.66802,             0.31414,            0.041815,            0.049324,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.043503,            0.058179,                   0,             0.79888,              0.5971,              0.6605,             0.31138,            0.042686,            0.049393,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.042369,            0.058715,                   0,             0.83164,             0.58919,             0.66812,             0.32489,            0.041068,            0.047588,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.040971,             0.05435,                   0,             0.83649,             0.61905,             0.69236,             0.34559,            0.039902,            0.047419,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.040283,             0.05551,                   0,             0.81398,             0.59066,             0.66674,             0.32373,            0.040602,            0.047858,                   0,             0.00736,             0.00736,             0.00736
                  10,             0.03951,            0.052518,                   0,             0.84073,             0.61927,             0.69323,             0.34552,            0.039677,            0.047412,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.039028,            0.053546,                   0,             0.83457,             0.63669,              0.7086,             0.35515,            0.039338,            0.047487,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.038219,            0.051076,                   0,             0.84144,             0.62572,             0.69952,             0.34792,             0.03988,            0.048592,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.038112,            0.052647,                   0,             0.82412,              0.6307,             0.69883,             0.35013,            0.039394,            0.047534,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.037859,            0.051608,                   0,             0.84471,             0.62742,             0.70425,             0.35466,            0.039025,            0.047286,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.036676,            0.049559,                   0,              0.8247,             0.64122,             0.70791,             0.35915,            0.038528,            0.047253,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.036398,            0.047932,                   0,             0.82377,             0.66418,             0.72408,             0.36627,            0.038816,            0.046966,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.036625,            0.050486,                   0,             0.83867,              0.6618,             0.72923,             0.36598,            0.038609,            0.047542,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.035856,            0.049065,                   0,             0.83492,             0.65162,             0.71813,             0.36072,            0.039254,            0.047915,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.035489,             0.04858,                   0,             0.84372,             0.64912,             0.72316,             0.36767,            0.038555,            0.047461,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.035023,            0.048202,                   0,             0.84003,              0.6445,              0.7183,             0.35927,            0.039155,            0.048006,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.034505,             0.04611,                   0,             0.83636,             0.64631,             0.72233,             0.35934,            0.039155,            0.048491,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.034469,            0.047027,                   0,             0.84605,              0.6454,             0.72137,             0.37056,            0.038721,            0.048521,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.034211,            0.048996,                   0,             0.84246,             0.65747,             0.73295,             0.37356,            0.038415,            0.049148,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.033797,            0.046987,                   0,              0.8296,             0.64257,             0.71539,              0.3648,             0.03885,             0.04879,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.033119,            0.046784,                   0,             0.84454,             0.66757,             0.73956,             0.38168,            0.038099,            0.048986,                   0,             0.00208,             0.00208,             0.00208
                  26,             0.03269,            0.045514,                   0,             0.83451,             0.65649,             0.72998,             0.36859,            0.038836,             0.04945,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.032666,            0.045406,                   0,             0.83419,             0.65101,             0.72457,             0.36584,            0.039016,            0.049282,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.032025,            0.044543,                   0,             0.82901,             0.65916,             0.72704,             0.36508,            0.038881,            0.049362,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.032022,            0.043877,                   0,             0.83742,             0.64642,             0.72529,             0.37039,            0.038804,            0.049528,                   0,             0.00076,             0.00076,             0.00076
