               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1197,             0.06628,                   0,            0.036733,            0.034707,           0.0077659,           0.0021416,             0.11187,            0.058115,                   0,            0.070037,           0.0033292,           0.0033292
                   1,            0.097881,            0.060569,                   0,             0.50719,              0.2719,             0.26302,            0.096212,            0.081196,            0.054667,                   0,            0.039905,           0.0065306,           0.0065306
                   2,            0.084618,            0.058278,                   0,             0.59716,             0.33044,             0.34823,             0.13709,            0.075132,            0.053788,                   0,           0.0096414,              0.0096,              0.0096
                   3,            0.077141,            0.055888,                   0,             0.72825,             0.41507,             0.46539,             0.20671,            0.067202,             0.04892,                   0,            0.009406,            0.009406,            0.009406
