               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08942,            0.051093,                   0,             0.67533,             0.46611,             0.50416,             0.21685,             0.06518,            0.044273,                   0,            0.070037,           0.0033292,           0.0033292
                   1,            0.068648,            0.047184,                   0,             0.80818,             0.55753,             0.61497,             0.28492,            0.059994,            0.043744,                   0,            0.037839,           0.0044639,           0.0044639
                   2,            0.062683,            0.046707,                   0,             0.82622,               0.582,             0.64572,             0.32048,            0.055458,            0.042476,                   0,             0.00344,           0.0033986,           0.0033986
