               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08818,            0.075925,                   0,             0.44812,             0.33413,             0.29782,             0.11474,            0.065279,            0.055289,                   0,            0.070136,           0.0033182,           0.0033182
                   1,            0.066839,            0.068318,                   0,              0.4504,             0.39524,             0.32966,             0.12197,            0.062963,            0.054689,                   0,            0.039917,            0.006432,            0.006432
                   2,            0.062081,            0.066824,                   0,             0.67413,             0.40403,             0.44544,             0.16941,            0.059978,            0.057665,                   0,           0.0094774,           0.0093258,           0.0093258
                   3,            0.057488,            0.066813,                   0,             0.69632,              0.4366,             0.48993,             0.20177,            0.053226,            0.058385,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.054557,            0.068603,                   0,             0.72689,             0.44044,             0.50236,             0.21548,            0.051832,            0.057945,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.051745,            0.064513,                   0,             0.72103,             0.47856,              0.5314,             0.22563,            0.050563,            0.056298,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.050622,            0.063646,                   0,             0.72792,             0.48086,             0.53174,             0.22165,            0.050961,            0.054057,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.049511,            0.065201,                   0,             0.77541,             0.51159,             0.58184,             0.26566,            0.047931,            0.054372,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.048648,            0.061424,                   0,              0.7879,             0.53037,             0.60155,             0.27752,            0.046767,            0.053539,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.048312,            0.062417,                   0,             0.80587,             0.53527,             0.60119,             0.27655,            0.046087,            0.051428,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.047011,            0.060152,                   0,             0.79509,             0.55152,             0.62112,             0.29037,            0.045374,            0.052368,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.046552,            0.060563,                   0,             0.80316,             0.56261,             0.62741,             0.29809,            0.044723,            0.050419,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.046027,             0.05935,                   0,             0.80374,             0.56091,             0.63032,             0.29387,            0.045236,            0.050641,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.045997,            0.059646,                   0,             0.79748,             0.54801,             0.61372,             0.29209,            0.044589,             0.05055,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.045672,            0.058676,                   0,             0.80397,             0.55854,             0.62793,              0.2982,            0.045061,            0.051008,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.044441,            0.058308,                   0,             0.78572,             0.55921,              0.6217,             0.28752,            0.044912,            0.050344,                   0,             0.00538,             0.00538,             0.00538
                  16,             0.04426,             0.05812,                   0,             0.80673,             0.58376,             0.65092,             0.31209,            0.043502,            0.049739,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.044808,            0.059135,                   0,             0.81042,             0.57233,             0.64195,             0.30587,            0.043807,            0.050361,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.044112,            0.058078,                   0,             0.81988,             0.56481,              0.6418,             0.30766,            0.043903,            0.050182,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.043898,            0.055898,                   0,              0.8243,             0.56781,              0.6461,             0.31402,            0.043383,              0.0507,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.043931,            0.057023,                   0,             0.80252,              0.5824,             0.65368,             0.32119,            0.043025,            0.050595,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.042958,            0.056269,                   0,             0.80635,             0.58025,              0.6488,             0.31297,            0.043206,            0.049274,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.043038,             0.05639,                   0,             0.81471,             0.58659,             0.65715,             0.31848,            0.043037,            0.049241,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.043135,            0.057519,                   0,             0.80763,             0.59247,             0.65737,             0.31857,            0.042919,            0.049083,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.042532,            0.056805,                   0,             0.81098,             0.59109,             0.66195,             0.32508,            0.042448,            0.048951,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.042279,            0.056611,                   0,             0.81279,             0.57889,             0.65308,             0.31556,            0.043185,            0.049381,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.042309,            0.056802,                   0,             0.82149,             0.58647,             0.66072,              0.3269,            0.042359,            0.049239,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.04244,            0.055627,                   0,             0.82676,              0.5711,             0.64864,             0.31642,            0.042852,            0.049236,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.041575,            0.055608,                   0,             0.82846,             0.58342,             0.66071,             0.32571,            0.042421,            0.049167,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.041678,            0.053952,                   0,             0.82435,             0.58885,              0.6654,             0.32708,            0.042234,             0.04891,                   0,             0.00076,             0.00076,             0.00076
