               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079656,            0.085083,                   0,             0.47498,             0.42107,              0.3868,             0.15176,            0.058453,            0.080668,                   0,            0.070074,           0.0033251,           0.0033251
                   1,            0.058474,            0.079391,                   0,             0.75395,             0.54095,             0.59866,             0.24746,            0.050187,            0.073132,                   0,            0.039635,           0.0062189,           0.0062189
                   2,            0.054132,            0.079295,                   0,             0.79471,             0.55198,              0.6173,             0.26952,            0.048206,            0.078408,                   0,           0.0087555,           0.0086728,           0.0086728
                   3,            0.049636,            0.079465,                   0,             0.81692,             0.57695,             0.64734,             0.30875,            0.044622,            0.073923,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.047052,             0.07686,                   0,             0.80788,             0.59496,             0.66289,             0.31262,            0.043567,            0.075979,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.045129,            0.075508,                   0,             0.83695,             0.61769,             0.69096,             0.34346,            0.041296,            0.070049,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.043823,            0.075011,                   0,              0.8409,             0.60626,             0.68347,             0.33813,            0.041733,            0.071636,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.042967,             0.07302,                   0,             0.85914,             0.63182,             0.71034,             0.36297,            0.039881,            0.068295,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.042623,             0.07425,                   0,             0.85267,             0.63445,              0.7119,             0.35998,            0.040117,             0.06883,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.041541,            0.071065,                   0,              0.8561,             0.63884,             0.71503,             0.36319,            0.039588,            0.067832,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.041381,            0.070792,                   0,             0.85463,             0.63984,             0.71724,             0.36588,            0.039469,             0.06802,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.041245,            0.070191,                   0,             0.85587,             0.66117,             0.73359,             0.38018,            0.038649,            0.066909,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.040612,            0.070118,                   0,              0.8651,             0.66324,             0.74081,             0.38557,            0.038424,            0.067104,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.040674,            0.070076,                   0,             0.86078,             0.66014,             0.73581,             0.38092,            0.038369,            0.066607,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.039913,            0.070324,                   0,             0.86303,             0.66631,             0.74113,              0.3848,            0.038184,            0.065958,                   0,             0.00142,             0.00142,             0.00142
